participant_id,role,split_seed,ordering_hash
109,ASSIGNMENT_LEARNING,20260907,104bbc79a5f6164bd70e8269282f6fe4f5ef6001234e51496e8b3bb8668de6d1
137,ASSIGNMENT_LEARNING,20260907,1616f27eeaedce068954c280a31a5d4335b9095c17f237591479524bc613df0b
122,ASSIGNMENT_LEARNING,20260907,16f78742be67b0d1aebc12210499455060d45b1ca53c2c0d486d3f93c0056b43
33,ASSIGNMENT_LEARNING,20260907,1728612b4e152569195f8d5671f233c4e69aaa7e9cece70b56bc97601f13a8b5
159,ASSIGNMENT_LEARNING,20260907,18a61aa9e403f72cf9b58ae085e502fc187c41e8f8df5ae0222b8067399dd5c3
145,ASSIGNMENT_LEARNING,20260907,1f375e4147bed2ecd62ac98a69490c7e02c4599f82a02783bf83fe84d02f5611
157,ASSIGNMENT_LEARNING,20260907,1fa92d1dc27ad38ec82d35952afdc00b609d45c056ea8511df37cf5ab6685a1b
158,ASSIGNMENT_LEARNING,20260907,20a345dda56f66434e36e6971344f2a2130dfd3e392e410151886e358bebaf31
165,ASSIGNMENT_LEARNING,20260907,220b6cd6c634ed36f082886129ebb04c8c2b3052e969ceec0fbd314cb13c8415
144,ASSIGNMENT_LEARNING,20260907,22104c5f13b70cd5186c9b55640194d60c96e886fe4c441e8ccffda890ba58d4
146,ASSIGNMENT_LEARNING,20260907,26e376a0255d093726052f3d20d39c1e7875f18041e62b57d7517c5f5ef3bf1b
106,ASSIGNMENT_LEARNING,20260907,3512d76f9aa37a256ae43f3665922f09c6af9ae31a75aa86c7cc3b483c2b96ab
117,ASSIGNMENT_LEARNING,20260907,3b88d0639362df4181f5049220240d7cc11fc7affd06132939219fff4ff7ae9b
125,ASSIGNMENT_LEARNING,20260907,3e6d54f55396dd6f15a06d8dde8b473f1fe3396168207d5205d70d061c70e353
92,ASSIGNMENT_LEARNING,20260907,441e56f81ba6c7164ab9c59236ded96771f214030b3332eaff6308ce2c8592e9
6,ASSIGNMENT_LEARNING,20260907,44933c050e233d292ec9c49a6123deb1e3353a992f4dc71fe2d8421367ce7609
132,ASSIGNMENT_LEARNING,20260907,492336c87b1b4ea9834f9a2f05478052ff9b20db8ef51d3955b7fa574acb1f64
179,ASSIGNMENT_LEARNING,20260907,4dbae1dc839db911d8bb936f7fb6e6c8250ebf36dc9f322c57afe8d8032e4aec
2,ASSIGNMENT_LEARNING,20260907,4f0c1c4129a462b14bffcbe282de450f9a1fae09c6f50e879d6ef7cd482cf444
127,ASSIGNMENT_LEARNING,20260907,5108f164c7a9c9f73ec302a87faa7ab0798570143eb0308a5f8678e3a1beca8e
149,ASSIGNMENT_LEARNING,20260907,5a6b378f362a8e90d2470f92d4ea48816da5f422e8598743e3c8671405101982
152,ASSIGNMENT_LEARNING,20260907,5d784631f5f2c88f48498ca407c29e9ddf2070fd0abe3cb4d0e096015722b923
167,ASSIGNMENT_LEARNING,20260907,5e12d0ee5bb1341b69dbfd171a8cd7c52229021c9a4f1da6f3cc21e5676281bf
114,ASSIGNMENT_LEARNING,20260907,644ce32f46deec1d0f76dd79b855b99fc9a9d0645f701d9ffecb5efcd219064c
120,ASSIGNMENT_LEARNING,20260907,76c8703502f0f96ab964476c40b8d89ea867011d564bfcddb53a25c5c9201485
129,ASSIGNMENT_LEARNING,20260907,8062e96e18030a6a7f47d618ba88ae297deaa7335b820fe73a16b6762b3db789
43,ASSIGNMENT_LEARNING,20260907,8289589b107af9092380adc2a5d71a88e7bfdfb63f580d4c30c4742e098a9ea2
103,ASSIGNMENT_LEARNING,20260907,82a69da1d4d85a0eee0d5cb6af22fb7312dae033bbad21bd95d275034eab3511
134,ASSIGNMENT_LEARNING,20260907,86e47677abb13bd39c43b5206004594132d9c5b0e5611a882b2cbe036a49270b
131,ASSIGNMENT_LEARNING,20260907,8c33648369809217acd83a3c66994a3f0a9ce0343111880edf796f7db49d6bae
124,SIGNATURE_CONSTRUCTION,20260907,8e2fc864acff74f9adea73e223d6a2a8e391bf0da474163981ec3e9a0056f678
154,SIGNATURE_CONSTRUCTION,20260907,8ef461a9b718d11f672d1469e3b2809991826c8a1cef78ca50b13b56f2394a11
97,SIGNATURE_CONSTRUCTION,20260907,92533a398c1fe20130a04f2604db12ee65e4697f272366940256db24bfc417c7
118,SIGNATURE_CONSTRUCTION,20260907,9478c8c5b98c8b30c325bd0e60c4458f511a4db81c5edd1e2499a805f28076cb
142,SIGNATURE_CONSTRUCTION,20260907,98d53b819a5b0f36093d00724d99ce6e5707fd557cb91aaef578a014218910a6
130,SIGNATURE_CONSTRUCTION,20260907,9dfdf502b60e64fade92a9cf193adef01489f323479e50e1ec913041fbad4024
40,SIGNATURE_CONSTRUCTION,20260907,9f86a0b36d811d72fb79ac7cd60641e3052906a26265f49acf450922e44d39a9
156,SIGNATURE_CONSTRUCTION,20260907,a0a3ed154609b87c4165681b8d6cab1dfc8f5e0bc8217a13c5b725f860721ae2
135,SIGNATURE_CONSTRUCTION,20260907,a187cd1ea4514e8669f2b94a83a79d6963ce81610652cb78df28821e568b0e54
17,SIGNATURE_CONSTRUCTION,20260907,a8cfd9588a780d0f6506425c2d461c09bed2028fe25c00f1039a4edd2789eac2
116,SIGNATURE_CONSTRUCTION,20260907,ab724c27ea1cf81aae17f01b38bdbd5186922c8ab6a963c8c50fa15435b1d73b
94,SIGNATURE_CONSTRUCTION,20260907,b457b9b3b2c65306ecb351357b762342a4e78bb2279083b311abfaecad0498ec
102,SOURCE_REFERENCE,20260907,bd91b30dca43e553ab0b1847b8deff677ae6517d6e0be3ca6b913a70be79a905
123,SOURCE_REFERENCE,20260907,cd36ea375348ad0974b48432dc7060ae0641a5129781d625f62c4ed49df8489d
139,SOURCE_REFERENCE,20260907,ce406b0b8188a0fdb476cb99da40a8faacc0044146607eabff7dbff76341643c
115,SOURCE_REFERENCE,20260907,d702f6fba79985ebcb0249b76101ff1a12f3df6f3bc50dd946468401c55e19ed
119,SOURCE_REFERENCE,20260907,d70e5ba8f09c565b624c9f5a504ed5d96a06af28d8f0a91169901ca9296d284c
121,SOURCE_REFERENCE,20260907,d8a369d6575390411cef453753f2ce3db7875cdd100a989bdfc982fb768c76e3
3,SOURCE_REFERENCE,20260907,dc461af28861f30c584536ed0243bceba1c439ffb7f73e906dc7555f82663ab5
189,SOURCE_REFERENCE,20260907,dcfe97ccbc9522916252e56cbd17ac590e51c1fdaafcc1032cb673fd972020d0
133,SOURCE_REFERENCE,20260907,e6e24f3b8251f9523e8e5e7d7e37d9c04596d1318cfc6976067973a10ad03af5
32,SOURCE_REFERENCE,20260907,e8cc8cb6eb23a82cc8aa69b253051590b7f6ee048aafaca17b4372fc22b04a24
177,SOURCE_REFERENCE,20260907,ed737ce3ba9a067bcad1752a21a29246e563c170c7dc30099d262e8ba09386db
126,SOURCE_REFERENCE,20260907,ef23564fc0c3afa36cd714535f849756ec491b3b234305c340fdc7e3401d0956
143,SOURCE_REFERENCE,20260907,f106e7f758c80cac79e17293f7af2413076b9a691b8e9550463706860fd65a9f
136,SOURCE_REFERENCE,20260907,f1577ebb168f9f16abdc6212c55c8e1cd0d44d99f4ad759cf53b43ef1f244428
37,SOURCE_REFERENCE,20260907,f17ea58e4bdaa9dda6e00be067ae07334fc61781dfa35e9161edf21e288a45a6
79,SOURCE_REFERENCE,20260907,f367789241a73878e52ae7cb5235e5ca1ffb22472fe19c4cfe0738619bf6bf1e
148,SOURCE_REFERENCE,20260907,f598dca3da0c5f41da8db8c1021fe51ae695c09b359906ce1175a2661e26eed8
91,SOURCE_REFERENCE,20260907,f7781d73fa9bd6a4b4a9de53d35f464d0e2c8728bf8f4c22827d58f5120e2f6b
